GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Milestone2,unist.ep.milestone2.job,CSVHelper,43,346,0,10,11,71,1,12,1,7
Milestone2,unist.ep.milestone2.controller,IndexController,0,69,2,8,0,14,2,6,0,3
Milestone2,unist.ep.milestone2.controller,AdminController,0,153,3,11,0,31,3,10,0,6
Milestone2,unist.ep.milestone2.controller,MainController.RatingData,0,26,0,0,0,12,0,6,0,6
Milestone2,unist.ep.milestone2.controller,MainController,47,500,7,33,7,93,8,25,1,12
Milestone2,unist.ep.milestone2,Milestone2Application,5,3,0,0,2,1,1,1,1,1
Milestone2,unist.ep.milestone2,MyStartupRunner,25,169,5,5,10,58,5,7,0,7
Milestone2,unist.ep.milestone2.model,Club,0,86,0,0,0,36,0,18,0,18
Milestone2,unist.ep.milestone2.model,User,0,66,0,0,0,28,0,14,0,14
Milestone2,unist.ep.milestone2.model,ClubType,0,26,0,0,0,12,0,6,0,6
Milestone2,unist.ep.milestone2.model,UserClubType,0,45,0,0,0,20,0,9,0,9
Milestone2,unist.ep.milestone2.model,Rating,0,71,0,0,0,30,0,13,0,13
Milestone2,unist.ep.milestone2.service.impl,UserClubTypeServiceImpl,6,38,0,2,2,12,0,5,0,4
Milestone2,unist.ep.milestone2.service.impl,ClubServiceImpl,6,72,0,4,2,19,0,9,0,7
Milestone2,unist.ep.milestone2.service.impl,RatingServiceImpl,6,67,0,2,2,17,0,9,0,8
Milestone2,unist.ep.milestone2.service.impl,TypeServiceImpl,19,17,0,0,6,7,4,2,4,2
Milestone2,unist.ep.milestone2.service.impl,UserServiceImpl,6,58,0,2,2,16,0,9,0,8
Milestone2,unist.ep.milestone2.repository,HomeResponse,8,38,0,0,4,9,2,4,2,4
Milestone2,unist.ep.milestone2.repository,MainResponse,20,36,0,0,10,14,5,7,5,7
